Food,Calories,Utility,Carbohydrate,Fat,Protein,Category
Murtabak,674,60,0.18,0.75,0.07,Others
Ee Mee Seafood (Fried),1010,90,0.31,0.54,0.15,Noodle
Nasi Goreng Sayur,920,50,0.67,0.27,0.06,Rice
Claypot Rice,896,80,0.41,0.37,0.21,Rice
Ban Mian,476,50,0.41,0.42,0.18,Others
Nasi Briyani Chicken,880,40,0.46,0.36,0.18,Rice
Pad Thai with Chicken,840,30,0.61,0.24,0.16,Kway Teow
Ngoh Hiang Mixed Items,805,100,0.37,0.49,0.13,Others
Lontong with Sayur Lodeh,798,50,0.32,0.45,0.23,Others
Char Kway Teow,742,40,0.41,0.47,0.12,Kway Teow
Fish Slice Beehoon Soup,730,40,0.55,0.2,0.25,Bee Hoon
Mui Fan,720,40,0.62,0.2,0.18,Rice
Laksa,600,90,0.51,0.17,0.32,Bee Hoon
Ipoh Horfun,452,100,0.59,0.28,0.13,Kway Teow
Mee Siam,520,20,0.64,0.25,0.11,Others
Fried Hong Kong Noodles,693,80,0.37,0.48,0.15,Noodle
Mee Goreng ,750,50,0.57,0.29,0.14,Noodle
Seafood Claypot Noodles,677,40,0.25,0.57,0.18,Noodle
Beef Kway Teow,745,20,0.41,0.47,0.12,Kway Teow
Kway Chap,650,20,0.43,0.36,0.2,Kway Teow
Chicken Teriyaki Don,641,70,0.46,0.34,0.21,Rice
Xiao Wan Mian,658,60,0.44,0.38,0.18,Noodle
Hainanese Chicken Rice,618,60,0.45,0.31,0.24,Rice
Fried Hokkien Noodles,617,80,0.42,0.44,0.14,Noodle
Char Siew Rice,605,70,0.6,0.24,0.16,Rice
Braised Duck With Yam Rice,557,70,0.7,0.15,0.15,Rice
Lor Mee,381,70,0.59,0.26,0.15,Noodle
Fried Carrot Cake,585,80,0.44,0.47,0.09,Others
Roti Prata with Egg (2 pieces),576,80,0.39,0.44,0.17,Others
Shrimp Fried Rice,445,70,0.52,0.25,0.22,Rice
Mee Rebus,571,70,0.47,0.33,0.2,Noodle
Soya Sauce Chicken Rice,551,50,0.43,0.39,0.18,Rice
Bak Chor Mee,511,50,0.44,0.4,0.16,Noodle
Nasi Lemak,579,90,0.39,0.49,0.12,Rice
Fishball Noodles Dry,400,40,0.57,0.23,0.2,Noodle
Satay Beehoon,763,70,0.39,0.45,0.16,Bee Hoon
Prawn Noodles Dry,461,10,0.57,0.26,0.18,Noodle
Mee Soto,520,10,0.63,0.26,0.11,Noodle
Pork Satay with Sauce (10 sticks),710,100,0.25,0.56,0.19,Others
Wanton Noodles Dry,511,50,0.55,0.26,0.19,Noodle
Waffles with Kaya,400,60,0.5,0.42,0.8,Others
Fried Beehoon,250,70,0.73,0.18,0.09,Bee Hoon
Masala Thosai,498,30,0.71,0.16,0.13,Others
Nonya Rice Dumpling,352,20,0.67,0.23,0.1,Rice
Chwee Kway (6 pieces),336,40,66,6,6,Others
Dough Fritter,192,30,0.51,0.41,0.08,Others
Curry Puff (Chicken),246,30,0.33,0.59,0.08,Others
Lor Mai Kai,322,40,0.69,0.2,0.11,Rice
Pork Porridge,364,50,0.42,0.37,0.21,Rice
Tau Suan,293,90,0.86,0.06,0.08,Others
Macaroni Chicken Soup,199,40,0.64,0.05,0.31,Others
"Chee Cheong Fun, Plain with Sauce (2 rolls)",266,30,0.78,0.13,0.09,Others
Peanut Soup,255,20,0.35,0.51,0.14,Others
Goreng Pisang (2 pieces),197,10,0.75,0.23,0.02,Others
Popiah (2 pieces),376,50,0.3,0.53,0.17,Others
Pizza (2 slices),550,90,0.5,0.31,0.19,Others
Carbonara,704,100,0.47,0.36,0.17,Pasta
Butter Crab (500 gram),673,90,0.14,0.66,0.21,Others
Mac and Cheese,468,80,0.55,0.23,0.22,Pasta
Fish and Chips,925,100,0.32,0.59,0.08,Others
Alfredo Pasta,570,70,0.41,0.43,0.16,Pasta
Spaghetti Aglio Olio,486,40,0.55,0.3,0.15,Pasta
Beef Burger,667,70,0.32,0.48,0.21,Others
Cereal,190,30,0.77,0.12,0.11,Others
Burrito,579,50,0.45,0.36,0.19,Others
Ham Sandwich,365,30,0.4,0.27,0.33,Bread
French Toast with Butter,264,20,0.42,0.47,0.11,Bread
Fish Porridge,258,10,0.63,0.11,0.27,Rice
Roti Prata Plain (2 pieces),408,60,0.55,0.37,0.07,Others
Nasi Ayam Penyet,550,50,0.78,0.12,0.1,Rice
